Timestamp,State,LoadType,TargetV,CellV,Current_mA,Charge_mAh,Discharge_mAh
573.2314405441284,WAIT_LOAD,NONE,0.0,2.079,-0.11,0.0,0.0
573.5369257926941,WAIT_LOAD,NONE,0.0,2.074,-0.037,0.0,0.0
573.871869802475,WAIT_LOAD,NONE,0.0,2.076,-0.052,0.0,0.0
574.1392600536346,WAIT_LOAD,NONE,0.0,2.074,-0.048,0.0,0.0
574.4431869983673,WAIT_LOAD,NONE,0.0,2.08,-0.088,0.0,0.0
574.4934494495392,WAIT_LOAD,NONE,0.0,2.077,-0.059,0.0,0.0
574.7483446598053,WAIT_LOAD,NONE,0.0,2.077,-0.063,0.0,0.0
575.0384690761566,WAIT_LOAD,NONE,0.0,2.072,-0.019,0.0,0.0
575.3314530849457,WAIT_LOAD,NONE,0.0,2.075,-0.034,0.0,0.0
575.6473820209503,WAIT_LOAD,NONE,0.0,2.074,-0.077,0.0,0.0
575.8963084220886,WAIT_LOAD,NONE,0.0,2.076,-0.066,0.0,0.0
576.1873970031738,WAIT_LOAD,NONE,0.0,2.073,-0.052,0.0,0.0
576.4692487716675,WAIT_LOAD,NONE,0.0,2.073,-0.015,0.0,0.0
576.799220085144,WAIT_LOAD,NONE,0.0,2.072,-0.023,0.0,0.0
577.0426490306854,WAIT_LOAD,NONE,0.0,2.072,-0.045,0.0,0.0
577.3323369026184,WAIT_LOAD,NONE,0.0,2.073,-0.045,0.0,0.0
577.616938829422,WAIT_LOAD,NONE,0.0,2.073,-0.059,0.0,0.0
577.9468021392822,WAIT_LOAD,NONE,0.0,2.074,-0.059,0.0,0.0
578.1978499889374,WAIT_LOAD,NONE,0.0,2.075,-0.052,0.0,0.0
578.4769487380981,WAIT_LOAD,NONE,0.0,2.077,-0.07,0.0,0.0
578.7682092189789,WAIT_LOAD,NONE,0.0,2.071,0.021,0.0,0.0
579.1080038547516,WAIT_LOAD,NONE,0.0,2.075,-0.07,0.0,0.0
579.3602678775787,WAIT_LOAD,NONE,0.0,2.074,-0.077,0.0,0.0
579.6522266864777,WAIT_LOAD,NONE,0.0,2.074,-0.034,0.0,0.0
579.950302362442,WAIT_LOAD,NONE,0.0,2.072,0.01,0.0,0.0
580.2648112773895,WAIT_LOAD,NONE,0.0,2.072,-0.015,0.0,0.0
580.5187673568726,WAIT_LOAD,NONE,0.0,2.072,-0.07,0.0,0.0
580.8012375831604,WAIT_LOAD,NONE,0.0,2.074,-0.07,0.0,0.0
581.0925559997559,WAIT_LOAD,NONE,0.0,2.076,-0.088,0.0,0.0
581.4274613857269,WAIT_LOAD,NONE,0.0,2.071,-0.052,0.0,0.0
581.6959147453308,WAIT_LOAD,NONE,0.0,2.075,-0.041,0.0,0.0
581.9894418716431,WAIT_LOAD,NONE,0.0,2.073,-0.034,0.0,0.0
582.2836709022522,WAIT_LOAD,NONE,0.0,2.071,-0.037,0.0,0.0
582.5710868835449,WAIT_LOAD,NONE,0.0,2.072,-0.055,0.0,0.0
582.8446078300476,WAIT_LOAD,NONE,0.0,2.068,0.032,0.0,0.0
583.13751912117,WAIT_LOAD,NONE,0.0,2.073,-0.063,0.0,0.0
583.4222133159637,WAIT_LOAD,NONE,0.0,2.07,-0.012,0.0,0.0
583.7324335575104,WAIT_LOAD,NONE,0.0,2.071,-0.023,0.0,0.0
